outcome_type,in_type,treatment,metric,value,model_type,exons,length,rc,replicate
quantiles_per_treatment,One-Hot,SA,AUC,0.6271239076002767,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,SA,F1,0.6244389027431422,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,MCC,0.1966911447385506,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,Accuracy,0.5841688654353562,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,AUC,0.635916540806623,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,F1,0.6265402843601895,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA,MCC,0.1914546176670098,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA,Accuracy,0.5924219150025601,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA,AUC,0.6233812428780983,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA,F1,0.6198662846227317,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,MCC,0.214136452944689,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,Accuracy,0.6017338092809791,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,AUC,0.6474174998488913,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,F1,0.6254196642685851,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,MCC,0.1769357883794976,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,Accuracy,0.5672,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,AUC,0.6605530749926669,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,F1,0.3817142857142857,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,MCC,0.1891538180087692,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,Accuracy,0.6091445427728613,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,AUC,0.658507472342628,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,F1,0.4058295964125561,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,elf18,MCC,0.1931241882172943,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,elf18,Accuracy,0.5948586118251928,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,elf18,AUC,0.6336682385411199,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,elf18,F1,0.6063936063936064,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,flg22,MCC,0.2524176662957299,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,flg22,Accuracy,0.6252327746741154,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,flg22,AUC,0.6864184237607144,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,flg22,F1,0.6449051610057345,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,MCC,0.1467224493754775,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,Accuracy,0.5720081135902637,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,AUC,0.6146080662351396,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,F1,0.5950095969289828,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,OGs,MCC,0.2121964706026922,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,OGs,Accuracy,0.6027987082884823,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,OGs,AUC,0.6446321433379576,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,OGs,F1,0.5927152317880795,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,MCC,0.1983982498785324,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,Accuracy,0.5988786952089704,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,AUC,0.6457673538750968,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,F1,0.6019221041982803,CNN,masked,2048,True,0
quantiles_per_treatment,One-Hot,MeJA,MCC,0.2640895229453324,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,MeJA,Accuracy,0.6332794830371568,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,MeJA,AUC,0.6834452473338135,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,MeJA,F1,0.5860182370820669,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA,MCC,0.2755350246238197,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA,Accuracy,0.6372657111356119,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA,AUC,0.6871450005358483,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA,F1,0.6324022346368715,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,MCC,0.2556180705070402,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,Accuracy,0.629023746701847,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,AUC,0.6785467360295352,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,F1,0.6061624649859945,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA,MCC,0.2363124713000033,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA,Accuracy,0.6175115207373272,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA,AUC,0.6733305632676703,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA,F1,0.6213887480993412,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,MCC,0.2804615140551923,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,Accuracy,0.6409994900560938,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,AUC,0.6917246611517194,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,F1,0.6235294117647059,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,MCC,0.3828116019569134,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,Accuracy,0.7552,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,AUC,0.7936235048724049,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,3-OH10,F1,0.5173501577287066,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,MCC,0.3652520779881299,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,Accuracy,0.7470501474926253,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,AUC,0.7921459532897714,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,chitooct,F1,0.5175808720112518,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,elf18,MCC,0.3303581529919856,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,elf18,Accuracy,0.6652956298200514,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,elf18,AUC,0.7276537022299734,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,elf18,F1,0.6579085654230163,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,flg22,MCC,0.3901398576840918,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,flg22,Accuracy,0.6950651769087524,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,flg22,AUC,0.7664597253324109,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,flg22,F1,0.692054536906441,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,MCC,0.28982791620978,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,Accuracy,0.6450304259634888,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,AUC,0.7111152489784497,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,nlp20,F1,0.6346555323590815,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,OGs,MCC,0.3128530226616539,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,OGs,Accuracy,0.66254036598493,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,OGs,AUC,0.7249465877628907,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,OGs,F1,0.6034155597722961,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,MCC,0.3574975520397904,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,Accuracy,0.6788990825688074,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,AUC,0.7363156827996944,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,Pep1,F1,0.6666666666666666,CNN,all,2048,True,0
quantiles_per_treatment,One-Hot,MeJA,MCC,0.2932536993309548,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,MeJA,Accuracy,0.6478190630048465,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,MeJA,AUC,0.6905504310044378,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,MeJA,F1,0.6166471277842908,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA,MCC,0.2603696692899062,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA,Accuracy,0.6312017640573319,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA,AUC,0.667483023353241,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA,F1,0.6099125364431487,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,MCC,0.2568121666031714,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,Accuracy,0.6279683377308707,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,AUC,0.6634323432343234,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,SA+MeJA,F1,0.6162221012520414,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA,MCC,0.2176234480378151,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA,Accuracy,0.6093189964157706,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA,AUC,0.6664274337230313,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA,F1,0.5904455179817498,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,MCC,0.2562046674741837,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,Accuracy,0.6292707802141765,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,AUC,0.6834032601967124,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,ABA+MeJA,F1,0.6055344546934347,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,3-OH10,MCC,0.3200456866743385,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,3-OH10,Accuracy,0.7488,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,3-OH10,AUC,0.7520939934165498,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,3-OH10,F1,0.4695945945945946,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,chitooct,MCC,0.338339701973379,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,chitooct,Accuracy,0.7477876106194691,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,chitooct,AUC,0.7710810635957819,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,chitooct,F1,0.495575221238938,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,elf18,MCC,0.340525950353043,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,elf18,Accuracy,0.6673521850899743,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,elf18,AUC,0.7299099205878867,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,elf18,F1,0.6811237062592411,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,flg22,MCC,0.4225221802309669,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,flg22,Accuracy,0.7099627560521415,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,flg22,AUC,0.7767781826441502,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,flg22,F1,0.723969871510855,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,nlp20,MCC,0.2829099880815672,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,nlp20,Accuracy,0.6404665314401623,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,nlp20,AUC,0.6899486858727722,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,nlp20,F1,0.6526212640862323,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,OGs,MCC,0.3145583233704718,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,OGs,Accuracy,0.6614639397201292,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,OGs,AUC,0.7238683922477624,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,OGs,F1,0.6190187764990914,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,Pep1,MCC,0.3435727135995303,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,Pep1,Accuracy,0.6717635066258919,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,Pep1,AUC,0.7299265672665665,CNN,all,4096,True,0
quantiles_per_treatment,One-Hot,Pep1,F1,0.6690647482014389,CNN,all,4096,True,0
quantiles_per_treatment,String,MeJA,Accuracy,0.6537425955842757,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,MeJA,MCC,0.3126439716586902,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,MeJA,AUC,0.7044610701921513,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,MeJA,F1,0.5738899933730947,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA,Accuracy,0.6423841059602649,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA,MCC,0.2910472300811297,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA,AUC,0.7197373174256033,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA,F1,0.5462184873949579,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA+MeJA,Accuracy,0.6536430834213305,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA+MeJA,MCC,0.3008937065431279,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA+MeJA,AUC,0.7040343126550312,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,SA+MeJA,F1,0.6,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA,Accuracy,0.6201947719118401,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA,MCC,0.2533601892321753,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA,AUC,0.683147976424031,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA,F1,0.5166340508806262,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA+MeJA,Accuracy,0.6479591836734694,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA+MeJA,MCC,0.2974470734730127,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA+MeJA,AUC,0.7106273914186406,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,ABA+MeJA,F1,0.573019801980198,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,3-OH10,Accuracy,0.8176,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,3-OH10,MCC,0.3941865767401169,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,3-OH10,AUC,0.7799840302447609,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,3-OH10,F1,0.5043478260869565,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,chitooct,Accuracy,0.8045722713864307,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,chitooct,MCC,0.3875817715973119,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,chitooct,AUC,0.7964352720450282,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,chitooct,F1,0.5065176908752328,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,elf18,Accuracy,0.6663239074550128,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,elf18,MCC,0.3417643437510073,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,elf18,AUC,0.7478411419089385,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,elf18,F1,0.594628357276702,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,flg22,Accuracy,0.6904096834264432,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,flg22,MCC,0.3960139312256215,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,flg22,AUC,0.788476826818626,AgroNT,not apply,not apply,not apply,not apply
quantiles_per_treatment,String,flg22,F1,0.6391752577319588,AgroNT,not apply,not apply,not apply,not apply
